"9144bab","jc3943","Mon, 15 May 2023 22:02:10 -0400","updated switch-inventory.csv for correct vcsa dc and apic node ids",	 1 file changed, 4 insertions(+), 4 deletions(-)	
"62a6562","jc3943","Tue, 9 May 2023 13:48:32 -0700","updated tfe intersight plans for env vars and new api keys",	 14 files changed, 101 insertions(+), 19 deletions(-)	
"af08503","jc3943","Wed, 3 May 2023 19:20:02 -0400","re-added post mods aep-bare-metal",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"a1a7830","jc3943","Wed, 3 May 2023 19:14:21 -0400","re-added post mods aep-bare-metal",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"9beeca5","jc3943","Wed, 3 May 2023 19:09:29 -0400","re-added post mods aep-bare-metal",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"0149ac8","jc3943","Wed, 3 May 2023 18:59:06 -0400","re-added post mods aep-bare-metal",	 1 file changed, 1 deletion(-)	
"5f8ffb6","jc3943","Wed, 3 May 2023 18:53:49 -0400","re-added post mods aep-bare-metal",	 1 file changed, 1 deletion(-)	
"6135898","jc3943","Wed, 3 May 2023 18:48:44 -0400","re-added post mods aep-bare-metal",	 2 files changed, 17 insertions(+), 10 deletions(-)	
"f657e07","jc3943","Wed, 3 May 2023 18:14:21 -0400","remout aep-bare-metal",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"24cfc78","jc3943","Wed, 3 May 2023 16:58:10 -0400","added L3 out json",	 1 file changed, 11 insertions(+), 11 deletions(-)	
"bc569d0","jc3943","Wed, 3 May 2023 16:47:02 -0400","added L3 out json",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"0f9c3f4","jc3943","Wed, 3 May 2023 16:45:24 -0400","added L3 out json",	 1 file changed, 391 insertions(+)	
"37f0f00","jc3943","Wed, 3 May 2023 16:33:49 -0400","changed epg domain deploy resolution to immediate",	 1 file changed, 1 insertion(+)	
"6e937f1","jc3943","Wed, 3 May 2023 16:31:57 -0400","changed epg domain resolution to pre-provision",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"d2c10c7","jc3943","Wed, 3 May 2023 16:26:36 -0400","branch specific var mods ltrato-2002",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"f0a44b4","jc3943","Wed, 3 May 2023 16:23:29 -0400","branch specific var mods ltrato-2002",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"9724d18","jc3943","Wed, 3 May 2023 16:12:16 -0400","branch specific var mods ltrato-2002",	 1 file changed, 26 insertions(+), 26 deletions(-)	
"606972e","jc3943","Wed, 3 May 2023 16:08:56 -0400","branch specific var mods ltrato-2002",	 2 files changed, 27 insertions(+), 26 deletions(-)	
"f89adba","jc3943","Wed, 3 May 2023 15:54:57 -0400","branch specific var mods ltrato-2002",	 1 file changed, 8 insertions(+), 8 deletions(-)	
"febbfd0","jc3943","Wed, 3 May 2023 15:43:04 -0400","branch specific var mods ltrato-2002",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"0c93d75","jc3943","Wed, 3 May 2023 15:28:13 -0400","branch specific var mods ltrato-2002",	 16 files changed, 1126 insertions(+), 4 deletions(-)	
"7a5e3a2","jc3943","Mon, 1 May 2023 17:31:24 -0400","re-sync from internal github",	 5 files changed, 102 insertions(+), 1 deletion(-)	
"ce64bd2","jc3943","Fri, 21 Apr 2023 08:35:27 -0400","updated bh-prod vars for tenant.csv",	 3 files changed, 1 insertion(+), 1 deletion(-)	
"cff02bc","jc3943","Tue, 18 Apr 2023 15:05:38 -0400","adding some nxos automation",	 9 files changed, 122 insertions(+), 2 deletions(-)	
"5ebf7fa","jc3943","Wed, 12 Apr 2023 20:18:50 -0400","added nxos terraform plans",	 3 files changed, 70 insertions(+)	
"78115e0","jc3943","Wed, 12 Apr 2023 19:59:55 -0400","added nxos terraform plans",	 3 files changed, 28 insertions(+), 1 deletion(-)	
"978711d","jc3943","Mon, 27 Mar 2023 13:07:35 -0400","initial commit, move from LTRATO-3001",	 699 files changed, 239759 insertions(+)	
"b2ee642","jc3943","Mon, 27 Mar 2023 12:58:53 -0400","Initial commit",	 2 files changed, 30 insertions(+)	
